# timestamp wx wy wz ax ay az
200.302 1.75783610603958e-05 -1.74056184051743e-05 -2.51641917930492e-05 -7.35967599435487e-06 2.03749698868413e-05 9.80659743933394
200.322 2.59602293033705e-05 -2.76688146002496e-05 -2.46762662149125e-05 -8.25400257226953e-06 1.26378553951983e-05 9.80635171699318
200.342 2.47412786346593e-05 -2.8887176467135e-05 -2.34782639891541e-05 -8.32387766766103e-06 9.95923973566965e-06 9.80626142924046
200.362 2.04622638879683e-05 -2.34493574253544e-05 -2.19258215787804e-05 -8.30453044772183e-06 9.77825806300976e-06 9.80628423233797
200.382 1.71307414727556e-05 -1.37221657373578e-05 -2.02864958571496e-05 -8.46493934033224e-06 1.05683551395804e-05 9.80637778254816
200.402 1.62210681577424e-05 -2.05056957587182e-06 -1.8739760586123e-05 -8.61217934909643e-06 1.13404536989679e-05 9.80649973613519
200.422 1.680983680154e-05 9.27325872467662e-06 -1.73805109633355e-05 -8.35981628983813e-06 1.1463759649974e-05 9.80661441364688
200.442 1.70656735510526e-05 1.83505136141248e-05 -1.62576830939654e-05 -7.95375460245807e-06 1.12492174460146e-05 9.80671279275704
200.462 1.57390350963325e-05 2.40163304172926e-05 -1.54128775644173e-05 -7.6005538431822e-06 1.10099337038816e-05 9.80679251542122
200.482 1.22976445082688e-05 2.58707470794261e-05 -1.48838725358207e-05 -7.35327349490387e-06 1.08842644670205e-05 9.80685122359401
200.502 6.92649036741859e-06 2.42787049839256e-05 -1.47046251745555e-05 -7.26150523323802e-06 1.09764994518118e-05 9.80688655922816
200.522 4.87446037157038e-07 2.03235898900446e-05 -1.49036983756419e-05 -7.38559303509699e-06 1.13627525773304e-05 9.8068977059749
200.542 -5.92490546047158e-06 1.52961711814316e-05 -1.54869521272657e-05 -7.49547654121236e-06 1.17892320996859e-05 9.80689001428587
200.562 -1.14274457101757e-05 1.01835404510902e-05 -1.64202350275117e-05 -7.45323588803804e-06 1.20652684683483e-05 9.80687037631325
