# timestamp vx vy vz
200.302 1.93191121664604e-05 -2.35960561886239e-05 -1.66776235451804e-05
200.322 1.9187378253564e-05 -2.32811296107017e-05 -2.04804043487437e-05
200.342 1.89420805470873e-05 -2.31637221933152e-05 -2.75727132116078e-05
200.362 1.8586001598056e-05 -2.31677660996188e-05 -3.52692958909065e-05
200.382 1.81380076255677e-05 -2.32444078956395e-05 -4.17317727894884e-05
200.402 1.76330485061049e-05 -2.33720085504041e-05 -4.59686389658875e-05
200.422 1.71208426403887e-05 -2.35545823874541e-05 -4.78019427283367e-05
200.442 1.66514104852078e-05 -2.3804625489475e-05 -4.75007501738491e-05
200.462 1.62606080661015e-05 -2.41259441157299e-05 -4.54146097466773e-05
200.482 1.59688118537282e-05 -2.45120936565035e-05 -4.19402308229899e-05
200.502 1.57809187504299e-05 -2.49463786199389e-05 -3.7521483728209e-05
200.522 1.56870162233201e-05 -2.54025186402927e-05 -3.26416912165371e-05
200.542 1.56697536640472e-05 -2.58519744112083e-05 -2.77388349977647e-05
200.562 1.57117137515317e-05 -2.62712736254916e-05 -2.31207622466909e-05
200.582 1.57960825793446e-05 -2.66426769761074e-05 -1.8957477093906e-05
200.602 1.59066496457916e-05 -2.6954178154015e-05 -1.52811406413655e-05
200.622 1.60278871976607e-05 -2.71994836585569e-05 -1.19945319332149e-05
200.642 1.61458228926069e-05 -2.73777907556887e-05 -8.96411879693082e-06
200.662 1.62489124732046e-05 -2.74935654232394e-05 -6.11312866989622e-06
200.682 1.63281190967424e-05 -2.75565221718455e-05 -3.4300095779205e-06
200.702 1.63769133370018e-05 -2.75816240439264e-05 -9.68430147463284e-07
200.722 1.63911555796793e-05 -2.75883825818809e-05 1.15873952874197e-06
200.742 1.63678024607365e-05 -2.7593157579324e-05 2.84563826053776e-06
200.762 1.63036132745237e-05 -2.76014568207361e-05 4.05962413768668e-06
200.782 1.61950323855353e-05 -2.7607236055327e-05 4.84729366170833e-06
200.802 1.60381892244654e-05 -2.75928989947882e-05 5.3344817289025e-06
200.822 1.58289729652917e-05 -2.75301830293918e-05 5.71848655330181e-06
200.842 1.55638539639132e-05 -2.7389901980205e-05 6.18254362109646e-06
200.862 1.5240705195374e-05 -2.71516888718099e-05 6.81029966217994e-06
200.882 1.48588769433577e-05 -2.6804881619269e-05 7.57803755541131e-06
200.902 1.4419196777804e-05 -2.63485230586058e-05 8.35467632687159e-06
200.922 1.3924094582656e-05 -2.57910328220617e-05 8.91188492549075e-06
200.942 1.33789776592362e-05 -2.51465983025501e-05 9.0353337731091e-06
200.962 1.27936058437195e-05 -2.44315655926197e-05 8.63594630968328e-06
200.982 1.21822165243812e-05 -2.36641113824376e-05 7.76001276478477e-06
201.002 1.15635246193957e-05 -2.28642429823678e-05 6.58919016444104e-06
201.022 1.0960308551991e-05 -2.20536609565757e-05 5.43113963187721e-06
201.042 1.03948556646298e-05 -2.1254248411269e-05 4.61653677377369e-06
201.062 9.88440765091469e-06 -2.04865602631971e-05 4.39608204967634e-06
201.082 9.44074651626492e-06 -1.97696859000063e-05 4.93113808358592e-06
201.102 9.07019456075631e-06 -1.91212491780224e-05 6.29372966237662e-06
201.122 8.77385863038847e-06 -1.8556930088605e-05 8.46848717766624e-06
201.142 8.55031670059583e-06 -1.80852030304615e-05 1.1374024451765e-05
201.162 8.39830447559031e-06 -1.77020750835172e-05 1.48843165718171e-05
201.182 8.31695961950318e-06 -1.73906076682551e-05 1.88306433296925e-05
201.202 8.30582176147843e-06 -1.71209165522601e-05 2.3001589219751e-05
201.222 8.3648006175619e-06 -1.68511124968094e-05 2.71391971308021e-05
201.242 8.49382535117113e-06 -1.65376484170358e-05 3.08966589414334e-05
201.262 8.69249394720717e-06 -1.61456665377785e-05 3.37960061347412e-05
201.282 8.96004133460471e-06 -1.5649939047957e-05 3.52242634749367e-05
201.302 9.29533937410465e-06 -1.50348681051682e-05 3.44334490148257e-05
201.322 9.69666337475293e-06 -1.42946556836666e-05 3.0578975684392e-05
201.342 1.01591235620348e-05 -1.34351719775182e-05 2.3142068771206e-05
201.362 1.06720965702689e-05 -1.24758238145839e-05 1.23521834138815e-05
201.382 1.12189919350691e-05 -1.14497245004563e-05 -7.74593819002911e-07
201.402 1.17772520940029e-05 -1.04036938242125e-05 -1.44355449199773e-05
201.422 1.23189681619736e-05 -9.39697294234524e-06 -2.61164690987818e-05
201.442 1.28176533666161e-05 -8.48708805876314e-06 -3.34183179342661e-05
