# timestamp wx wy wz ax ay az
0 -2.57669046917121e-05 9.84557884968736e-10 -2.27677797119363e-12 1.0009602126523e-08 2.64254830078176e-06 9.80665000000069
0.02 -7.5107367497619e-05 -4.67361098263607e-10 -8.30126669335578e-14 2.5949253853139e-09 -5.66495643500794e-07 9.80665000000269
0.04 -0.000272583428452268 6.89677225021568e-11 1.20163198079244e-12 -9.08419360483337e-10 3.77549066529168e-08 9.8066500000793
0.06 -0.000603116269441825 5.93649450804102e-10 1.17822906828673e-12 -1.7857393013198e-09 6.64887858642623e-07 9.80665000078235
0.08 -0.00105463763306719 -4.37396302453535e-10 -2.79606663138039e-14 -9.74653154911956e-10 1.8670974614793e-07 9.80665000411455
0.1 -0.00161808982264398 -4.11243539206267e-09 -1.775513691875e-12 8.45018895351366e-10 -4.53224799855035e-07 9.80665001507591
0.12 -0.00228728911402953 -1.1459075465027e-08 -2.98881863841486e-12 2.68480439830215e-09 2.67503825366296e-07 9.80665004369943
0.14 -0.0030574232857195 -2.7790985647434e-08 -3.08604515093935e-12 2.09596000515077e-09 1.28106124463483e-06 9.80665010709887
0.16 -0.00392354914894456 -6.7054616357517e-08 -2.3739296611054e-12 -1.99830491860115e-09 1.56047939422402e-06 9.8066502319007
0.18 -0.00488045595949735 -1.52224355966068e-07 -6.56973745653523e-13 -7.05398222668199e-09 1.07453944021901e-06 9.80665045708013
0.2 -0.00592266541773245 -3.1530253116878e-07 4.61177372528544e-12 -5.13564959063437e-09 8.40238990997005e-07 9.80665083711179
0.22 -0.00704445356245367 -5.98363149211407e-07 1.86396122774657e-11 9.70614180693986e-09 2.07717935746e-06 9.80665144497519
0.24 -0.00824009160367354 -1.06503305936957e-06 4.41025831769467e-11 1.67436666628856e-08 3.54518520481245e-06 9.80665237342686
0.26 -0.0095040867553729 -1.81197311590161e-06 7.74375762800943e-11 1.71744302607705e-09 4.20853267392416e-06 9.80665373810468
0.28 -0.0108312041293881 -2.9699219224085e-06 1.1517079007094e-10 -2.73314055140529e-08 4.08340654401859e-06 9.80665568088117
0.3 -0.0122164667354111 -4.7036958321674e-06 1.6980130926783e-10 -3.33779487400938e-08 4.18727189500227e-06 9.80665837311288
0.32 -0.0136551466191056 -7.21379326353219e-06 2.85472505454144e-10 1.83678869600454e-08 5.70318366007521e-06 9.80666201783104
0.34 -0.0151426673813892 -1.07540421704142e-05 5.19252299547569e-10 5.49433819679793e-08 7.58232827282898e-06 9.80666684783096
0.36 -0.0166745066977139 -1.56492475276423e-05 8.92791948101058e-10 2.20707185016366e-08 8.8818844638547e-06 9.80667312929986
0.38 -0.0182461874561833 -2.22967956603129e-05 1.37514632186461e-09 -6.37036095473318e-08 9.54111000186479e-06 9.80668116509653
