# timestamp vx vy vz
0 -9.85009851461882e-11 -3.66099788645307e-08 -2.88657986402541e-15
0.02 2.03088912874294e-11 3.54262197721561e-08 1.73884344423225e-15
0.04 3.12305389882361e-11 4.33257249735739e-07 5.10008701937181e-16
0.06 4.29906110710476e-13 1.96001814587276e-06 -3.38618022510673e-15
0.08 -2.78964629174538e-11 5.89356263122435e-06 -4.27435864480685e-15
0.1 -3.15425463526253e-11 1.39864631170262e-05 -3.88578058618805e-15
0.12 -1.27292018071989e-11 2.84614718526091e-05 -2.03591483949328e-15
0.14 -2.52757051399932e-11 5.19615935743062e-05 6.59194920871187e-17
0.16 -2.01706568114801e-10 8.75001581543594e-05 1.0547118733939e-15
0.18 -7.55723150724918e-10 0.00013845628175082 3.27515792264421e-15
0.2 -1.98220972968954e-09 0.00020857486680755 3.21964677141295e-15
0.22 -4.30318356598944e-09 0.000301962115972417 2.40508567922459e-15
0.24 -8.77317828801294e-09 0.000423036185197476 1.84401105496335e-15
0.26 -1.75846613659214e-08 0.000576477836839144 1.80411241501588e-16
0.28 -3.41139577697547e-08 0.000767225953576399 1.94289029309402e-16
0.3 -6.2921271526406e-08 0.00100047753841078 -2.22044604925031e-16
0.32 -1.09940507718453e-07 0.0012816837876731 -3.75133951679985e-17
0.34 -1.84567425676185e-07 0.00161650689409733 5.10008701937181e-16
0.36 -3.01747828335142e-07 0.00201077684989444 -2.77555756156289e-16
0.38 -4.82167346049778e-07 0.00247048751975916 1.0547118733939e-15
0.4 -7.52251498203904e-07 0.00300179664086993 5.55111512312578e-16
0.42 -1.14465363730337e-06 0.00361102237003814 1.51669041908997e-15
0.44 -1.70362301751131e-06 0.00430460530234944 9.52363188311267e-16
0.46 -2.49037279836939e-06 0.00508907048980502 1.52655665885959e-16
0.48 -3.58356804264215e-06 0.00597102398847082 5.82867087928207e-16
0.5 -5.07932573778902e-06 0.00695715285847756 -4.44089209850063e-16
0.52 -7.09217412928585e-06 0.0080542221383456 -4.81494184800813e-16
0.54 -9.76560555229766e-06 0.00926904156255861 -3.76434994286967e-16
0.56 -1.32826292769117e-05 0.0106084322791374 -2.04003480774873e-15
0.58 -1.78667308250446e-05 0.0120792238239645 -1.58206781009085e-15
0.6 -2.37818720130178e-05 0.0136882541207847 -1.99840144432528e-15
0.62 -3.13340728415137e-05 0.0154423668468165 -9.25800235085372e-16
0.64 -4.08888127065091e-05 0.0173483824544864 -3.79904441238921e-16
0.66 -5.28884315712519e-05 0.0194130691931615 -1.17267306976032e-15
0.68 -6.78537119066513e-05 0.0216431404747627 5.82867087928207e-16
0.7 -8.63838786875348e-05 0.0240452548737639 4.9960036108132e-16
0.72 -0.000109158892430122 0.0266260138982431 1.40588495706195e-15
0.74 -0.0001369646727837 0.0293919374714412 1.62196645003831e-15
0.76 -0.000170718322075519 0.0323494394133208 6.24500451351651e-16
0.78 -0.000211470418369664 0.0355048252116171 1.08246744900953e-15
0.8 -0.000260405015470866 0.0388642920218377 -2.22044604925031e-16
0.82 -0.000318842653188761 0.0424339265679127 -3.7621815385247e-17
0.84 -0.000388273470326356 0.0462196820493453 -3.79904441238921e-16
0.86 -0.000470390317645536 0.0502273550483614 -7.35522753814166e-16
0.88 -0.000567091768142181 0.0544625834305602 1.38777878078145e-16
0.9 -0.000680482117052739 0.0589308463449141 4.44089209850063e-16
0.92 -0.000812874985871093 0.0636374622395113 4.06684234899313e-16
0.94 -0.000966832966666685 0.0685875670347268 5.11743425413158e-16
0.96 -0.00114520726637668 0.0737860922963941 6.24500451351651e-16
0.98 -0.00135114131082437 0.079237763251547 -2.4980018054066e-16
1 -0.00158807074474043 0.0849470987884208 -2.22044604925031e-16
1.02 -0.00185972740488625 0.0909184092787673 -3.7621815385247e-17
1.04 -0.00217018302444024 0.0971557726233348 -3.79904441238921e-16
1.06 -0.00252389293741626 0.103663010297346 -2.06779038336435e-15
1.08 -0.00292570005177717 0.110443685172816 -3.05311331771918e-16
1.1 -0.00338083484945462 0.117501101518549 -4.44089209850063e-16
1.12 -0.0038949193469113 0.124838302098701 4.06684234899313e-16
1.14 -0.00447401066153968 0.13245803625693 1.39992184511328e-15
1.16 -0.00512464457805409 0.140362728000548 6.24500451351651e-16
1.18 -0.00585383950906937 0.148554473099079 -2.4980018054066e-16
1.2 -0.00666909649510439 0.157035039084259 -2.22044604925031e-16
1.22 -0.00757840258255162 0.165805861465423 -3.7621815385247e-17
1.24 -0.00859026798143812 0.174868002098726 -3.79904441238921e-16
1.26 -0.00971376322316619 0.184222107556368 -1.17961196366423e-15
1.28 -0.0109585225384785 0.193868405341977 -3.05311331771918e-16
1.3 -0.0123347438574846 0.203806703890613 4.44089209850063e-16
1.32 -0.0138531909314479 0.214036387283146 4.06575814682064e-16
1.34 -0.0155252166727097 0.224556357104498 1.39818712163731e-15
1.36 -0.0173627864945766 0.235364974301877 6.10622663543836e-16
1.38 -0.0193784804331562 0.246460053899159 -2.77555756156289e-16
1.4 -0.0215854931473285 0.257838864996894 -3.33066907387547e-16
1.42 -0.0239976337428926 0.269498123541689 -2.5955800009303e-16
1.44 -0.0266293238378986 0.281433912789511 -8.22258927613007e-16
1.46 -0.0294955956279834 0.293641603768984 -1.60982338570648e-15
1.48 -0.0326120917104914 0.306115848050777 -1.16573417585641e-15
1.5 -0.0359950650844918 0.318850577747607 -3.33066907387547e-16
1.52 -0.0396613754544377 0.331838996675887 -2.59666420310278e-16
1.54 -0.0436284485706919 0.345073483133917 9.52363188311267e-16
1.56 -0.0479142355699998 0.358545492680062 1.59594559789866e-16
