# timestamp tx ty tz qx qy qz qw
0 3.00000000000003 8.31053486937512e-11 1 -1.35617748954487e-08 2.91899257073007e-13 1.38305817505988e-15 1
0.02 2.9999999999995 -5.29904063942765e-11 1 -3.87409509648802e-07 2.6743610162721e-13 -9.96345897460987e-15 0.999999999999925
0.04 3.00000000000013 3.56662663993829e-09 1 -2.00915994526285e-06 -2.47847606133593e-12 -3.36665434728667e-15 0.999999999997982
0.06 3.00000000000047 2.46980056490372e-08 1 -6.28226617202305e-06 1.55732090697575e-12 9.62942659654523e-15 0.999999999980267
0.08 3.00000000000017 9.7907083361125e-08 1 -1.44744459023019e-05 4.15810859689036e-12 1.61904090233304e-14 0.999999999895245
0.1 2.99999999999952 2.88064057859192e-07 1 -2.77477870762728e-05 -1.60545627554751e-11 7.63002794814776e-15 0.99999999961503
0.12 2.99999999999907 6.9981960693249e-07 1 -4.71885802883545e-05 -8.98530413145366e-11 -1.51769697685208e-14 0.999999998886619
0.14 2.99999999999882 1.48660906602969e-06 1 -7.38300486227478e-05 -2.74183869799482e-10 -3.96298376450223e-14 0.999999997274562
0.16 2.99999999999698 2.85845834978582e-06 1 -0.000108657047839949 -7.21108718222157e-10 -4.239734916923e-14 0.999999994096823
0.18 2.99999999998826 5.08931783313883e-06 1 -0.000152603663962551 -1.76729344676679e-09 2.7561711708645e-14 0.999999988356061
0.2 2.99999999996229 8.5243780770458e-06 1 -0.000206550537662345 -4.02428747783486e-09 3.02241478382297e-13 0.999999978668437
0.22 2.99999999990181 1.35873676098719e-05 1 -0.00027132223240539 -8.47089063847263e-09 1.0890506188754e-12 0.999999963192122
0.24 2.9999999997761 2.07873841562721e-05 1 -0.000347685741041424 -1.6599794558963e-08 2.99566936048413e-12 0.999999939557311
0.26 2.9999999995222 3.07245415404767e-05 1 -0.000436351882340291 -3.07019979727517e-08 7.11096616648759e-12 0.999999904798512
0.28 2.99999999902152 4.40951500370701e-05 1 -0.000537977835956031 -5.42054965158278e-08 1.53486196011211e-11 0.999999855289912
0.3 2.99999999807606 6.16968787774418e-05 1 -0.00065316972111616 -9.20160597782608e-08 3.10886386942524e-11 0.999999786684631
0.32 2.99999999638403 8.44339024482646e-05 1 -0.000782485157516871 -1.50861216506581e-07 6.02245376154781e-11 0.999999693858431
0.34 2.99999999349566 0.000113321639582671 1 -0.000926435365323053 -2.39717663525435e-07 1.12572743796748e-10 0.999999570858636
0.36 2.99999998871891 0.000149490454125203 1 -0.001085486095317 -3.70450443627047e-07 2.03473925273562e-10 0.999999410859726
0.38 2.99999998100543 0.000194188948589459 1 -0.00126005809814233 -5.58535547083619e-07 3.55675922766724e-10 0.999999206126324
0.4 2.99999996883573 0.000248787241507769 1 -0.00145052757573489 -8.23785719658634e-07 6.02135489010187e-10 0.999998947983983
0.42 2.99999995010249 0.000314780231069467 1 -0.00165722664129047 -1.19107985683649e-06 9.90714389101478e-10 0.999998626798278
0.44 2.99999992194302 0.000393790499662678 1 -0.00188044400343888 -1.6911857606116e-06 1.59102559440361e-09 0.999998231962182
0.46 2.99999988044291 0.000487570306863503 1 -0.00212042621969607 -2.36181990670313e-06 2.50171633726529e-09 0.999997751891007
0.48 2.99999982028901 0.000598003223328711 1 -0.00237737917412912 -3.24880058055682e-06 3.85680723247696e-09 0.999997174024861
0.5 2.99999973442032 0.000727105750877039 1 -0.00265146956357196 -4.40720459759618e-06 5.83293351333196e-09 0.999996484838687
0.52 2.99999961367515 0.000877028930467785 1 -0.00294282637740327 -5.90252714304544e-06 8.66214917903493e-09 0.999995669859661
0.54 2.99999944633846 0.00105005963550919 1 -0.00325154221165733 -7.81192336313969e-06 1.26531369589982e-08 0.999994713692137
0.56 2.99999921743597 0.0012486210663886 1 -0.00357767416269817 -1.02256575658586e-05 1.82141016815876e-08 0.999993600051031
0.58 2.99999890792843 0.00147527293033237 1 -0.0039212445552537 -1.32486342336974e-05 2.58689230686418e-08 0.999992311803251
0.6 2.99999849390214 0.00173271160916316 1 -0.00428224166406419 -1.70019321854005e-05 3.62696773028967e-08 0.999990831016597
0.62 2.99999794575304 0.00202377031651957 1 -0.00466062043785852 -2.16243405125287e-05 5.02206495786938e-08 0.999989139015779
0.64 2.99999722720639 0.00235141898109951 1 -0.00505630328384325 -2.72739428534192e-05 6.87272055183371e-08 0.999987216444905
0.66 2.99999629391877 0.00271876343442516 1 -0.005469181005788 -3.41298247499584e-05 9.30527631416943e-08 0.999985043335285
0.68 2.99999509191549 0.00312904432463158 1 -0.00589911380265503 -4.23938296491083e-05 1.24753892969047e-07 0.999982599178151
